2024-02-29 18:55:51.187  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-25b7742eeeb661aef09718e3e3890b6a Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.187  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-7fbbe4598feb104890d965ba888c38c3 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.187  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e29c0add55eb1c873fba4cb3444daa24 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.188  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-4b8b7e7bf473adca38672d23af167a53 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.188  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-d1a2be142fa4622da16b65197b7eae67 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.188  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a82a83cd999276cf99043a32835b7236 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.189  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-5e9280fa5f7ee9d816e8b873a96d998f Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.189  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-da83258bb8bfbc72eda49bd7494bb7a4 Requested Resources: Requirements(cpu=6, ram=53687091200)
2024-02-29 18:55:51.190  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-9abf5ac2283c91a7b7e5dace6d32356c Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:51.190  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-45182dc349958639ac56b432ae4f91e2 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:51.190  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-043de9577a11a078b3da5b8177a09e06 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:51.191  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-39bf5f618a6bcaef97d08dac6e9ea678 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:51.191  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-db6bfd188780e32097fa2dc0c1669621 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:51.191  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-8070b770043c31bd77a946897ce87647 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:51.192  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-08a25ed68c0b0f2814f4aec02b7e5ad0 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:51.192  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-85347c4f9b9d82c5699bcb0574cf8ca5 Requested Resources: Requirements(cpu=6, ram=38654705664)
